sampleName	originalIndex	Cell.Type..Samples	MajorType	GabaDeep	CellType	forContanim	Normalize	MainName	Description	Region	Anatomical.Region	Age	AgeExact	Method	RNA.isolation.method	RNA.amplification.and.labeling.method	Platform	Reference	Notes	Astrocyte	CerebGranule	Cholin	DentateGranule	Dopaminergic	Gluta	Golgi	Hypocretinergic	Microglia	MotorCholin	Oligo	Purkinje	Serotonergic	Spiny	Th_positive_LC	Astrocyte	CerebGranule	Cholin	DentateGranule	Dopaminergic	Gluta	Golgi	Hypocretinergic	Microglia	MotorCholin	Oligo	Purkinje	Serotonergic	Spiny	Th_positive_LC	MeanCont
GSM337774	4	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholinStem	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.4031403758	0.5571085319	0.3165190415	0.466119398	0.3888407451	0.6170078803	0.3768878381	0.3416642866	0.3007930637	0.9362920687	0.4269771343	0.3549870174	0.363314685	0.2955021394	0.4262341939	0.43809256
GSM337775	4	H_mn_brainstem:v2_GSM337773,v2_GSM337774,v2_GSM337775	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholinStem	MotorCholinStem	Motor Neurons, Midbrain Cholinergic Neurons	Brainstem	Brainstem	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.4142846087	0.5517159222	0.3997960992	0.4527640574	0.4032746919	0.6468337668	0.3927693115	0.2842668779	0.3357967986	0.9477861356	0.4930224033	0.425387073	0.3632197168	0.2341509034	0.4889836064	0.4556034648
GSM337779	5	H_chol_basal_fb:v2_GSM337779,v2_GSM337780,v2_GSM337781	Neuron	Cholin	Cholin	Cholin	CholinForebrain	CholinForebrain	Cholinergic Projection Neurons	Forebrain	Basal Forebrain	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.3266368212	0.5466081052	0.9148282338	0.4659854188	0.4564498254	0.1848348282	0.2483409723	0.4258055688	0.3113925125	0.3260282431	0.3958708375	0.3807910467	0.3614701274	0.30730418	0.4019805435	0.4036218176
GSM337780	5	H_chol_basal_fb:v2_GSM337779,v2_GSM337780,v2_GSM337781	Neuron	Cholin	Cholin	Cholin	CholinForebrain	CholinForebrain	Cholinergic Projection Neurons	Forebrain	Basal Forebrain	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.333093333	0.3380832462	0.9205570213	0.4852331457	0.4662785858	0.3566618808	0.2961301867	0.4080223195	0.3229043439	0.3788866034	0.3895041212	0.3713835977	0.3051197454	0.3307742889	0.3372510039	0.4026588949
GSM337781	5	H_chol_basal_fb:v2_GSM337779,v2_GSM337780,v2_GSM337781	Neuron	Cholin	Cholin	Cholin	CholinForebrain	CholinForebrain	Cholinergic Projection Neurons	Forebrain	Basal Forebrain	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.291803124	0.5284498583	0.9285830028	0.4257311637	0.4318426501	0.1977057728	0.4902974987	0.4699581697	0.3189958516	0.2901918698	0.3800582668	0.3898462293	0.2321608526	0.3450994199	0.3202217804	0.4027297007
GSM337785	6	H_chol_spinal:v2_GSM337785,v2_GSM337786,v2_GSM337787	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholinSpinal	MotorCholinSpinal	Motor Neurons, Cholinergic Interneurons	SpinalCord	Spinal Cord	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.4060014177	0.5256543211	0.2863513509	0.5567156516	0.1665149281	0.5691464658	0.2754216145	0.3355259118	0.3693394734	0.9582052395	0.2896764783	0.4174976032	0.3258252352	0.1911386342	0.4257960085	0.4065873556
GSM337786	6	H_chol_spinal:v2_GSM337785,v2_GSM337786,v2_GSM337787	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholinSpinal	MotorCholinSpinal	Motor Neurons, Cholinergic Interneurons	SpinalCord	Spinal Cord	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.458661449	0.4471259729	0.4064005421	0.4614998035	0.323559457	0.5755421341	0.3797765449	0.2413488267	0.355363794	0.9970035921	0.4406900251	0.3957655727	0.3467600566	0.2256843343	0.4290529522	0.4322823371
GSM337787	6	H_chol_spinal:v2_GSM337785,v2_GSM337786,v2_GSM337787	Neuron	MotorCholin	MotorCholin	MotorCholin	MotorCholinSpinal	MotorCholinSpinal	Motor Neurons, Cholinergic Interneurons	SpinalCord	Spinal Cord	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.4458830145	0.4938030938	0.2406342991	0.515214536	0.2543078494	0.615306441	0.2566696415	0.2725079592	0.3443498267	0.951758232	0.2898005001	0.4061470337	0.350858093	0.1998317992	0.3844052659	0.401431839
GSM337791	7	H_chol_corp_striatum:v2_GSM337791,v2_GSM337792,v2_GSM337793	Neuron	Cholin	Cholin	Cholin	CholinStr	CholinStr	Cholinergic Neurons	Striatum	Corpus Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.3563939588	0.5177532936	0.9786021231	0.4376420352	0.3816551424	0.1667145858	0.2761362087	0.3975214619	0.3378384369	0.3421727949	0.449784447	0.3262035108	0.3455419546	0.3939331139	0.2617599181	0.3979768657
GSM337792	7	H_chol_corp_striatum:v2_GSM337791,v2_GSM337792,v2_GSM337793	Neuron	Cholin	Cholin	Cholin	CholinStr	CholinStr	Cholinergic Neurons	Striatum	Corpus Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.3050935359	0.54165067	0.9893661732	0.4556847799	0.4159539878	0.4863969125	0.4541329392	0.3904686499	0.297279758	0.3266466323	0.3495479766	0.3921235279	0.2453961695	0.35953143	0.459340043	0.431240879
GSM337793	7	H_chol_corp_striatum:v2_GSM337791,v2_GSM337792,v2_GSM337793	Neuron	Cholin	Cholin	Cholin	CholinStr	CholinStr	Cholinergic Neurons	Striatum	Corpus Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.3962963006	0.473693732	0.9835956675	0.4830921445	0.4112560557	0.2468032354	0.1464307444	0.4572003538	0.3341262765	0.3634407909	0.4369489741	0.378662091	0.3322750092	0.3997868831	0.3212336776	0.4109894624
GSM337804	8	H_cort+_cortex:v2_GSM337804,v2_GSM337805,v2_GSM337806	Neuron	NA	NA	Inter	Inter	Inter	Interneurons	Cortex	Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.5289946767	0.5460224455	0.2219023267	0.5528858859	0.1562139893	0.7466423793	0.3003809206	0.4163300701	0.4020756116	0.3731138322	0.3911625523	0.3900397272	0.3827264822	0.4738929526	0.4451884353	0.4218381525
GSM337805	8	H_cort+_cortex:v2_GSM337804,v2_GSM337805,v2_GSM337806	Neuron	NA	NA	Inter	Inter	Inter	Interneurons	Cortex	Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.5394498907	0.4692705786	0.3438128529	0.5951666673	0.324845562	0.7343093139	0.3953408829	0.4945598969	0.4505314406	0.4173539163	0.3802091616	0.4070362454	0.4293170843	0.4585412628	0.4519940807	0.4594492558
GSM337806	8	H_cort+_cortex:v2_GSM337804,v2_GSM337805,v2_GSM337806	Neuron	NA	NA	Inter	Inter	Inter	Interneurons	Cortex	Cortex	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.5281760957	0.4001014982	0.4362512515	0.567248566	0.2730746232	0.692059277	0.3302602094	0.4532404029	0.411100562	0.3917913614	0.4052892296	0.3576157981	0.3316571499	0.4668891494	0.3771226623	0.4281251891
GSM337807	9	H_drd1+_msn_striatum:v2_GSM337807,v2_GSM337808,v2_GSM337809	Neuron	Spiny	Spiny	Spiny	SpinyDrd1	SpinyDrd1	Drd1+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.4191369819	0.5129806475	0.4375807256	0.5321054702	0.2987143098	0.266925524	0.3458922904	0.4172402226	0.3670658534	0.3107003351	0.3006631781	0.3908982408	0.3804909997	0.8132397214	0.3799646976	0.4115732799
GSM337808	9	H_drd1+_msn_striatum:v2_GSM337807,v2_GSM337808,v2_GSM337809	Neuron	Spiny	Spiny	Spiny	SpinyDrd1	SpinyDrd1	Drd1+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.3734986709	0.5945719962	0.3214045775	0.520800186	0.2853176931	0.4219887929	0.3277551126	0.4241921619	0.3981454382	0.2740918966	0.3189906031	0.2458018672	0.4008165318	0.7735101148	0.3709840819	0.4034579816
GSM337809	9	H_drd1+_msn_striatum:v2_GSM337807,v2_GSM337808,v2_GSM337809	Neuron	Spiny	Spiny	Spiny	SpinyDrd1	SpinyDrd1	Drd1+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.4072062987	0.4774099986	0.4326229285	0.5042330076	0.1137846091	0.2716209748	0.4320357607	0.3679656946	0.3335790401	0.2850533055	0.2577216613	0.3064417095	0.3743384811	0.783600509	0.3856281602	0.3822161426
GSM337812	10	H_drd2+_msn_striatum:v2_GSM337812,v2_GSM337813,v2_GSM337814	Neuron	Spiny	Spiny	Spiny	SpinyDrd2	SpinyDrd2	Drd2+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.3424680593	0.5344472273	0.608891185	0.5218294618	0.265071459	0.4714041034	0.4210385413	0.3794951646	0.383829358	0.2935148209	0.3330358767	0.2961998691	0.3774847157	0.8574762082	0.4674713432	0.4369104929
GSM337813	10	H_drd2+_msn_striatum:v2_GSM337812,v2_GSM337813,v2_GSM337814	Neuron	Spiny	Spiny	Spiny	SpinyDrd2	SpinyDrd2	Drd2+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.3787173843	0.4408070654	0.5814176299	0.4892638956	0.1841953526	0.2181096411	0.4304813412	0.3332173817	0.3574166718	0.3321289027	0.283863931	0.17468737	0.4160400281	0.8166320396	0.381966083	0.3879296479
GSM337814	10	H_drd2+_msn_striatum:v2_GSM337812,v2_GSM337813,v2_GSM337814	Neuron	Spiny	Spiny	Spiny	SpinyDrd2	SpinyDrd2	Drd2+ Medium Spiny Neurons	Striatum	Striatum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.3795134151	0.4936684845	0.6273047671	0.471818735	0.0608830332	0.4251122127	0.416500603	0.3345485041	0.3819192624	0.2680744768	0.3082171278	0.2856468458	0.3804842014	0.8287868175	0.329655326	0.3994755875
GSM337825	11	H_golgi_cerebellum:v2_GSM337825,v2_GSM337826,v2_GSM337827	Neuron	Golgi	Golgi	Golgi	Golgi	Golgi	Golgi Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.3639379682	0.5755306817	0.2492771598	0.3726701536	0.4748322873	0.38402873	0.9709529165	0.3717932473	0.4004628547	0.4515993979	0.2302673122	0.3994857047	0.3884811281	0.2714975878	0.4292882903	0.4222736947
GSM337826	11	H_golgi_cerebellum:v2_GSM337825,v2_GSM337826,v2_GSM337827	Neuron	Golgi	Golgi	Golgi	Golgi	Golgi	Golgi Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.3722681795	0.5882776993	0.1782921273	0.5178684136	0.4874157284	0.4973119223	0.9766303963	0.4099525992	0.3765715164	0.2941018197	0.3174968785	0.4191983851	0.3902522966	0.3397074194	0.4006763084	0.4377347793
GSM337827	11	H_golgi_cerebellum:v2_GSM337825,v2_GSM337826,v2_GSM337827	Neuron	Golgi	Golgi	Golgi	Golgi	Golgi	Golgi Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.4335654342	0.539656134	0.1949026117	0.5193120715	0.4704087719	0.4900207112	1	0.3919132759	0.3871617406	0.3493493677	0.3098067273	0.3938874502	0.3644702575	0.3813763303	0.4664181911	0.4461499383
GSM337831	12	H_stell_basket_cerebellum:v2_GSM337831,v2_GSM337832,v2_GSM337833	Neuron	Basket	Basket	Basket	Basket	Basket	Stellate Basket Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.5944941095	0.7041831357	0.4673727254	0.3843881351	0.3753601975	0.2785190671	0.3959465901	0.3329917205	0.3555629535	0.4243155702	0.4926037675	0.5461670354	0.3029897018	0.1969635221	0.4402380182	0.4194730833
GSM337832	12	H_stell_basket_cerebellum:v2_GSM337831,v2_GSM337832,v2_GSM337833	Neuron	Basket	Basket	Basket	Basket	Basket	Stellate Basket Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.57777755	0.738159618	0.3635167227	0.2872320455	0.2216335146	0.4984814966	0.6093357195	0.3639336121	0.3704209712	0.3983172864	0.484622445	0.5590112135	0.2818262374	0.2563772223	0.4448776717	0.4303682218
GSM337833	12	H_stell_basket_cerebellum:v2_GSM337831,v2_GSM337832,v2_GSM337833	Neuron	Basket	Basket	Basket	Basket	Basket	Stellate Basket Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.5883825318	0.7494891459	0.3836728929	0.3081275531	0.3016895591	0.294229765	0.4304339497	0.4178537923	0.3992001766	0.4381233722	0.4663890456	0.5630267715	0.2744086808	0.2976561612	0.4607010996	0.4248922998
GSM337834	13	H_granule_cerebellum:v2_GSM337834,v2_GSM337835,v2_GSM337836	Neuron	CerebGranule	CerebGranule	CerebGranule	GranuleCereb	GranuleCereb	Granule Cells	Cerebellum	Cerebellum	46-80	Adult	TRAP	RNeasy Micro Kit	T7 IVT	Affymetrix 430 2.0	Doyle et al., 2008	NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.381925038	0.9573681215	0.0982151481	0.2921890628	0.1204968431	0.5539971044	0.4626608886	0.3274515154	0.3030481704	0.3725156636	0.2810886073	0.4309889772	0.2948247231	0.2640021059	0.4201850609	0.3707304687
