humanGene	mouseGene
AP3M1	Ap3m1
TMEM97	Tmem97
PDCD7	Pdcd7
PNKP	Pnkp
PANX1	Panx1
MOV10	Mov10
PRDX5	Prdx5
CTSC	Ctsc
PC	Pcx
COPE	Cope
M6PR	M6pr
PIP4K2C	Pip4k2c
RCBTB2	Rcbtb2
ATP5J2-PTCD1 /// PTCD1	Ptcd1
ATP6V0C	Atp6v0c
EMG1	Emg1
BAG1	Bag1
GUK1	Guk1
SNX4	Snx4
MESDC1	Mesdc1
HMOX2	Hmox2
PYCRL	Pycrl
CD82	Cd82
ABCB10	Abcb10
RPS16	LOC100505015 /// LOC100862433 /// Rps16 /// Rps16-ps2
BGN	Bgn
PEA15	Pea15a
ACOX1	Acox1
PAFAH1B3	Pafah1b3
GSTM1	Gstm2
NSMAF	Nsmaf
EMILIN1	Emilin1
H2AFZ	Gm8203 /// H2afz
GSTM5	Gstm1
NDUFB7	Ndufb7
GABARAPL1	Gabarapl1
GABARAPL1 /// GABARAPL3	Gabarapl1
RPL9	Gm5451 /// LOC101056029 /// Rpl9
SSB	Ssb
PLIN3	Plin3
PEX19	Pex19
RAB5A	Rab5a
CCNI	Ccni
THAP11	Thap11
CAT	Cat
TUBB6	Tubb6
PFKFB3	Pfkfb3
RPA2	Rpa2
BCL2L10	Bcl2l10
LTBR	Ltbr
UQCC	Uqcc
MAPK8IP3	Mapk8ip3
PUF60	Puf60
DCTPP1	Dctpp1
CD164	Cd164
CPQ	Cpq
IER2	Ier2
SAE1	Sae1
ELOVL2	Elovl2
FAM98A	Fam98a
TMEM30A	Tmem30a
ITPA	Itpa
STXBP2	Stxbp2
TAF8	Taf8
OAT	Oat
RPS12	Gm21571 /// Rps12 /// Rps12-ps10 /// Rps12-ps11 /// Rps12-ps12 /// Rps12-ps13 /// Rps12-ps14 /// Rps12-ps15 /// Rps12-ps16 /// Rps12-ps18 /// Rps12l2
ACTA2	Acta2
CRYAB	Cryab
CHIA	Chia
DDAH2	Ddah2
ARF1	Arf2
ARF1 /// MIR3620	Arf2
MIOX	Miox
CAPRIN1	Caprin1 /// Gm20253
CAPRIN1	Caprin1
SLC4A1	Slc4a1
VAPA	Vapa
DDX3X	Ddx3x
ALDH1A1	Aldh1a1
LUZP1	Luzp1
RPN1	Rpn1
CEPT1	Cept1
SYAP1	Syap1
IGDCC4	Igdcc4
UBE2D2	Ube2d2a
MDH2	Mdh2
TMEM14B /// TMEM14C	Tmem14c
TMEM14C	Tmem14c
TTC3 /// TTC3P1	Ttc3
TIMM23	Timm23
TIMM23 /// TIMM23B	Timm23
AIMP1	Aimp1
YAP1	Yap1
CCNG2	Ccng2
LOC285540 /// PI4K2B	Pi4k2b
TMED6	Tmed6
NUMBL	Numbl
CCNE1	Ccne1
DDOST	Ddost
NDUFS5	LOC100504968 /// Ndufs5
NDUFS5	BC002163 /// LOC100504968 /// Ndufs5
MRFAP1	Mrfap1
PDIA4	Pdia4
PPIC	Ppic
DCTN6	Dctn6
SACM1L	Sacm1l
PREB	Preb
LXN	Lxn
ULK1	Ulk1
NR4A1	Nr4a1
KIAA0391 /// PSMA6	Psma6
CNPY2	Cnpy2
MED28	Med28
TM9SF3	Tm9sf3
MRPL4	Mrpl4
CDC42EP4	Cdc42ep4
NUBP2	Nubp2
LAMB2	Lamb2
FSCN1	Fscn1
PNPLA6	Pnpla6
H1FOO	H1foo
SEPW1	Sepw1
C12orf57	Grcc10
RNASE1	Rnase1
SPOP	Spop
PARK7	Park7
RAB32	Rab32
SH3BGRL3	Sh3bgrl3
EMP1	Emp1
PNP	Pnp
GSTO1	Gsto1
TRRAP	Trrap
EGLN2 /// RAB4B-EGLN2	Egln2
EGLN2	Egln2
EGLN2 /// RAB4B /// RAB4B-EGLN2	Egln2
DPF2	Dpf2
MCRS1	Mcrs1
MUM1	Mum1
CRELD1	Creld1
SIAE	Siae
HGS	Hgs
CLPB	Clpb
PHF1	Phf1
NFE2L2	Nfe2l2
CSNK2A1 /// NFE2L2	Nfe2l2
EZH2	Ezh2
ZDHHC7	Zdhhc7
RPL6	Rpl6
NDUFB3	Ndufb3
SLC35B4	Slc35b4
ATP2A2	Atp2a2
DPPA5	Dppa5a
STRA13	Stra13
PDLIM1	Pdlim1
EI24	Ei24
TSPAN31	Tspan31
EFTUD2	Eftud2
MELK	Melk
RRP8	Rrp8
SLC13A3	Slc13a3
GAD1	Gad1
CTPS1	Ctps
SOX7	Sox7
COX6B1	Cox6b1
STRAP	Strap
ACIN1	Acin1
ACTL6A	Actl6a
GFM1	Gfm1
TRAF4	Traf4
MMP14	Mmp14
POFUT2	Pofut2
TOX4	Tox4
CDC45	Cdc45
SOCS3	Socs3
RBX1	Gm9840 /// Rbx1
EPCAM	Epcam
STUB1	Stub1
WDR5	Wdr5
BAD	Bad
MAN2B2	Man2b2
RUVBL1	Ruvbl1
ZNF239	Zfp239
XRCC1	Xrcc1
PTPRN	Ptprn
SPARC	Sparc
NARR /// RAB34	Rab34
GLRX	Glrx
SFRP1	Sfrp1
MRPS22	Mrps22
SLC44A4	Slc44a4
HDGFRP2	Hdgfrp2
GLIS2	Glis2
RCAN1	Rcan1
RAD52	Rad52
RPL22	LOC100504863 /// Rpl22
CYC1	Cyc1
NHP2	Nhp2
C11orf54	4931406C07Rik
C6orf89	BC004004
CLCN3	Clcn3
SCAMP2	Scamp2
CYP1B1	Cyp1b1
EID1	Eid1
CLPP	Clpp
ACSS1	Acss1
PPOX	Ppox
C10orf54	4632428N05Rik
SMARCAL1	Smarcal1
LLGL1	Llgl1
FLII /// LLGL1	Llgl1
LOC653375 /// WBSCR16	Wbscr16
THBS3	Thbs3
KXD1	Kxd1 /// Uba52
UBA52	Kxd1 /// Uba52
SERPING1	Serping1
PLA2G1B	Pla2g1b
SPINT1	Spint1
TMEM223	Tmem223
SLC1A5	Slc1a5
ID3	Id3
AP4B1	Ap4b1
ME1	Me1
FAM96A	Fam96a
SMPDL3A	Smpdl3a
RHEB	Rheb
SLC4A2	Slc4a2
SALL2	Sall2
SLC2A5	Slc2a5
KCNE1L	Kcne1l
LIG1	Lig1
TPT1	Tpt1
SEMA3B	Sema3b
AFP	Afp
BCKDHA	Bckdha
DYNC1H1	Dync1h1
AMBP	Ambp
ZNHIT2	Znhit2
ASPN	Aspn
STXBP3	Stxbp3a
SLC31A2	Slc31a2
C1GALT1C1	C1galt1c1
CLIC1	Clic1
AKT1	Akt1
FRZB	Frzb
EIF3A	Eif3a
SARDH	Sardh
NDUFA9	Ndufa9
CDC20	Cdc20
COQ7	Coq7
SERPINE2	Serpine2
EBP	Ebp
EMC2	Emc2
SETDB1	Setdb1
MCOLN1	Mcoln1
BACE2	Bace2
PTPRU	Ptpru
PLCD1	Plcd1
KNG1	Kng1
APOH	Apoh
COPS3	Cops3
ABCD3	Abcd3
UBE3A	Ube3a
PLXNB2	Plxnb2
FBL	Fbl /// LOC100044829
PLOD2	Plod2
SNAP91	Snap91
TUFT1	Tuft1
GTPBP2	Gtpbp2
COIL	Coil
FOXC2	Foxc2
TSPO	Tspo
C19orf10	D17Wsu104e
DPP4	Dpp4
CKS1B	Cks1b
C20orf24 /// TGIF2-C20orf24	1110008F13Rik
RND3	Rnd3
SERPINI1	Serpini1
MAPK14	Mapk14
LOC729020 /// RPE	Rpe
RPE	Rpe
PMF1	Pmf1
GRAMD1A	Gramd1a
NGRN	Ngrn
TMEM35	Tmem35
TBR1	Tbr1
PEPD	Pepd
TPPP3	Tppp3
IRF8	Irf8
GJB3	Gjb3
EFS	Efs
CRISP2	Crisp2
BCAN	Bcan
NUDT3 /// RPS10-NUDT3	Rps10
SRSF6	Srsf6
HMG20A	Hmg20a
TCF4	Tcf4
UBE2S	Ube2s
CYB5A	Cyb5
CSNK2B /// LY6G5B	Csnk2b
CSNK2B	Csnk2b
PLG	Plg
LPA /// PLG	Plg
RCL1	Rcl1
TOP2B	Top2b
MKLN1	Mkln1
ASAH1	Asah1
CASC3	Casc3
GYS1	Gys1
BRAP	Brap
COL5A1	Col5a1
CFDP1	Cfdp1
UAP1	Uap1
H2AFX	H2afx
MFSD5	Mfsd5
MRE11A	Mre11a
HTRA1	Htra1
SIGMAR1	Sigmar1
DDX20	Ddx20
PRKAR1B	Prkar1b
DNAJB1	Dnajb1
ZWILCH	Zwilch
ARHGAP27	Arhgap27
MICAL1	Mical1
GALNT16	Galnt16
HSD11B2	Hsd11b2
S100A10	S100a10
CDC123	Cdc123
FIS1	Fis1
PAM16	Pam16
MARC2	Marc2
SMIM14	Smim14
ATP6V0B	Atp6v0b
STK25	Stk25
TRAPPC3	Trappc3
CPT2	Cpt2
WEE1	Wee1
ATP5SL	Atp5sl
CRYM	Crym
SDPR	Sdpr
PFKM	Pfkm
PRAF2	Praf2
TAC1	Tac1
PGK2	Pgk2
KCNIP1	Kcnip1
ACVR1	Acvr1
IDH3G	Idh3g
LOC732360 /// TDG	Gm5806 /// Gm9855 /// LOC101056559 /// Tdg
TDG	Gm5806 /// Gm9855 /// LOC101056559 /// Tdg
NXF1	Nxf1
PPM1G	Ppm1g
ATL2	Atl2
CRYL1	Cryl1
NCK2	Nck2
NME4	Nme4
TRPM7	Trpm7
CDCA5	Cdca5
FKBP7	Fkbp7
EHBP1L1	Ehbp1l1
FAM198B	Fam198b
FDXR	Fdxr
RPL36A /// RPL36A-HNRNPH2	Rpl36a /// Rpl36al
RPL36A	Rpl36a /// Rpl36al
HNRNPH2 /// RPL36A-HNRNPH2	Rpl36a /// Rpl36al
NID1	Nid1
CYP3A5	Cyp3a11
MEA1	Mea1
TIA1	Tia1
BUB3	Bub3
NEK7	Nek7
PARVA	Parva
CDC37	Cdc37
DGCR14 /// TSSK2	Dgcr14
DGCR14	Dgcr14
OSBPL1A	Osbpl1a
C11orf74	B230118H07Rik
SNTA1	Snta1
MED20	Med20
TBXAS1	Tbxas1
SNAP25	Snap25
ATP5B	Atp5b
C1orf85	0610031J06Rik
NEU1	Neu1
SLC39A8	Slc39a8
NDUFB2	Ndufb2
AMD1	Amd1
LRP10	Lrp10
BAX	Bax
MUT	Mut
MID1IP1	Mid1ip1
C9orf85	1110059E24Rik
GSTM3	Gstm5
PDE6D	Pde6d
PRMT2	Prmt2
TMEM132A	Tmem132a
PDZRN3	Pdzrn3
UBL5	Ubl5
CISD1	Cisd1
ST13	St13
NCDN	Ncdn
SLC34A2	Slc34a2
GAS1	Gas1
OSER1	3230401D17Rik
SDF2	Sdf2
FKBP3	Fkbp3
ING1	Ing1
STAM	Stam
ABHD8	Abhd8
SURF6	Surf6
FGD1	Fgd1
BET1	Bet1
CDKN2C	Cdkn2c
ZGPAT	Lime1 /// Zgpat
LIME1 /// SLC2A4RG /// ZGPAT	Lime1 /// Zgpat
DNAL4	Dnal4
ADAM8	Adam8
TSPAN6	Tspan6
CDK2	Cdk2
PAF1	Paf1
PARVG	Parvg
MRPL51	Mrpl51
MRPL51 /// SPTLC1	Mrpl51
MCL1	Mcl1
RGS10	Rgs10
CLPTM1	Clptm1
C8orf33	1110038F14Rik
C1D	C1d
FADD	Fadd
TNNI2	Tnni2
WDR74	Wdr74
NUMB	Numb
FAM107B	Fam107b
HSPBP1	Hspbp1
EFNA1	Efna1
RPS6KA1	Rps6ka1
PARP9	Parp9
IRF3	Irf3
UTF1	Utf1
CERS1 /// GDF1	Cers1 /// Gdf1
NPC2	Npc2
COX5B	Cox5b /// LOC100046079
NUCB1	Nucb1
MBNL1	Mbnl1
GUCA2A	Guca2a
ANAPC5	Anapc5
TSN	Tsn
DNAJC15	Dnajc15
